Contains 'h' Schmidt semi-normalized spherical harmonic coefficients for JRM09 internal field model of Jupiter, organized as h_mn in gauss (G), so that each row represents a single n and each column a single m. See https://doi.org/10.1002/2018GL077312
h0n,       h1n,       h2n,       h3n,       h4n,       h5n,       h6n,       h7n,       h8n,       h9n,      h10n
  0,  0.213305,         0,         0,         0,         0,         0,         0,         0,         0,        0
  0, -0.420273,  0.193532,         0,         0,         0,         0,         0,         0,         0,        0
  0, -0.329573,  0.420845, -0.275442,         0,         0,         0,         0,         0,         0,        0
  0,  0.319945,  0.278112, -0.009261,  0.003671,         0,         0,         0,         0,         0,        0
  0,  0.453479, -0.007490,  0.062685,  0.108596,  0.096084,         0,         0,         0,         0,        0
  0,  0.145331, -0.105929,  0.005686,  0.128717, -0.041478,  0.036044,         0,         0,         0,        0
  0, -0.076263, -0.109484,  0.026333,  0.053942, -0.060508, -0.015260, -0.056842,         0,         0,        0
  0, -0.024097, -0.116146,  0.092870, -0.009119,  0.027545, -0.024461,  0.012073, -0.028873,         0,        0
  0, -0.084674, -0.013838,  0.056977, -0.020563,  0.030815, -0.007212,  0.013525, -0.002101,  0.015676,        0
  0, -0.046926,  0.044458, -0.023786, -0.022043,  0.001641, -0.013616, -0.020315,  0.014118, -0.007143, 0.016765
