Contains 'G' Schmidt semi-normalized spherical harmonic coefficients for Schulz and McNab (1996) magnetopause current field model, organized as G_mn in dimensionless units, so that each row represents a single n and each column a single m. See https://doi.org/10.1029/95JA02987 . These coefficients are for the "psi = 90" model.
           G0n,           G1n,           G2n,           G3n,           G4n,           G5n,           G6n,           G7n,           G8n,           G9n,          G10n
  0.4132050264,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0
             0, -0.5157444974,             0,             0,             0,             0,             0,             0,             0,             0,             0
  0.0109183660,             0, -0.0140955499,             0,             0,             0,             0,             0,             0,             0,             0
             0,  0.0388763351,             0, -0.0342857048,             0,             0,             0,             0,             0,             0,             0
 -0.0127488209,             0,  0.0174182053,             0, -0.0150846083,             0,             0,             0,             0,             0,             0
             0, -0.0096295742,             0,  0.0091354162,             0, -0.0078231031,             0,             0,             0,             0,             0
  0.0013895776,             0, -0.0019297482,             0,  0.0018102643,             0, -0.0015384288,             0,             0,             0,             0
             0,  0.0027969966,             0, -0.0027159069,             0, -0.0027159069,             0, -0.0021368641,             0,             0,             0
  0.0001260966,             0, -0.0001763350,             0,  0.0001699207,             0, -0.0001573160,             0,  0.0001324011,             0,             0
             0, -0.0003848127,             0,  0.0003776193,             0, -0.0003618782,             0,  0.0003336352,             0, -0.0002798767,             0
